"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"NBR","Nabors Industries Ltd.","18.99","5692133337.75","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nbr",
"NOV","National Oilwell Varco, Inc.","73.65","31687076498.85","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/nov",
"NGS","Natural Gas Services Group, Inc.","24.16","302468824.8","n/a","2002","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ngs",
"NRP","Natural Resource Partners LP","12.61","1402869082.42","n/a","2002","Energy","Coal Mining","http://www.nasdaq.com/symbol/nrp",
"GBR","New Concept Energy, Inc","1.33","2589422.22","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gbr",
"NSLP","New Source Energy Partners L.P.","22.5","397021072.5","n/a","2013","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nslp",
"NFX","Newfield Exploration Company","29.41","4018974258.84","n/a","1993","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nfx",
"NR","Newpark Resources, Inc.","10.88","910306762.88","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/nr",
"NGL","NGL ENERGY PARTNERS LP","37.04","3314514769.6","n/a","2011","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ngl",
"NE","Noble Corporation","20.78","5283536203.1","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ne",
"NBL","Noble Energy Inc.","58.48","21154105488.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nbl",
"NOA","North American Energy Partners, Inc.","5.63","199324610.08","n/a","2006","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/noa",
"NADL","North Atlantic Drilling Ltd.","5.98","1442033052.98","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nadl",
"NRT","North European Oil Royality Trust","19.27","177102669.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nrt",
